time_s,cell,soc,soc_std,voltage_V,temperature_K,current_A,requested_current_A,interval_duration_s,interval_mean_voltage_V,interval_max_voltage_V,interval_max_temperature_K,reward_time,reward_balance,reward_voltage,reward_temperature,numerical_failure,failure_reason,failure_penalty
720.0,1,0.4646930499422207,0.15983416670013892,3.8495707917575754,299.1679738646761,3.5,3.5,90.0,3.839707905974226,3.8495707917575754,299.1679738646761,-0.75,-6.991708335006947,-0.1229360214872166,-0.0,False,,0.0
720.0,2,0.7178080140052946,0.15983416670013892,4.148468943761648,299.54225359969496,4.5,4.5,90.0,4.1339390439145705,4.148468943761648,299.54225359969496,-0.75,-6.991708335006947,-0.1229360214872166,-0.0,False,,0.0
720.0,3,0.8499220128656153,0.15983416670013892,4.206146801074361,298.75433932515506,3.5,3.5,90.0,4.2013347486777874,4.206146801074361,298.75433932515506,-0.75,-6.991708335006947,-0.1229360214872166,-0.0,False,,0.0
810.0,1,0.48527968118499826,0.15559061110003863,3.8693567011555583,299.2848263821079,3.5,3.5,90.0,3.8594846727216865,3.8693567011555583,299.2848263821079,-0.75,-6.779530555001932,-0.0,-0.0,False,,0.0
810.0,2,0.7458119015202617,0.15559061110003863,4.175170361593892,299.7142945942876,4.5,4.5,90.0,4.1620569345959355,4.175170361593892,299.7142945942876,-0.75,-6.779530555001932,-0.0,-0.0,False,,0.0
810.0,3,0.8564403612510794,0.15559061110003863,4.129415558540172,298.76077460254896,1.0,1.0,90.0,4.13194738382842,4.139737350352271,298.76077460254896,-0.75,-6.779530555001932,-0.0,-0.0,False,,0.0
900.0,1,0.5058663124277757,0.1549823338095618,3.8885072922638297,299.39962933399835,3.5,3.5,90.0,3.879012331845951,3.8885072922638297,299.39962933399835,-0.75,-6.749116690478091,-0.0,-0.0,False,,0.0
900.0,2,0.7738157890352274,0.1549823338095618,4.197761555810377,299.88464796616745,4.5,4.5,90.0,4.1869237500865495,4.197761555810377,299.88464796616745,-0.75,-6.749116690478091,-0.0,-0.0,False,,0.0
900.0,3,0.8727362322147334,0.1549823338095618,4.182857178121779,298.81672796915166,2.5,2.5,90.0,4.17854124974632,4.182857178121779,298.81672796915166,-0.75,-6.749116690478091,-0.0,-0.0,False,,0.0
990.0,1,0.5264529436705536,0.15452309854106797,3.906479497033589,299.51215376587703,3.5,3.5,90.0,3.897601616704037,3.906479497033589,299.51215376587703,-0.75,-6.726154927053399,-0.26991708891683786,-0.0,False,,0.0
990.0,2,0.8018196765501946,0.15452309854106797,4.213495854445842,300.0536849691126,4.5,4.5,90.0,4.206268796405675,4.213495854445842,300.0536849691126,-0.75,-6.726154927053399,-0.26991708891683786,-0.0,False,,0.0
990.0,3,0.8890321031783882,0.15452309854106797,4.190275134457895,298.87428907607,2.5,2.5,90.0,4.186346501694125,4.190275134457895,298.87428907607,-0.75,-6.726154927053399,-0.26991708891683786,-0.0,False,,0.0
1080.0,1,0.5470395749133321,0.1509076928110458,3.9231655803150476,299.6229072341802,3.5,3.5,89.99999999999989,3.914921255576106,3.9231655803150476,299.6229072341802,-0.75,-6.545384640552291,-0.034635100140203434,-0.0,False,,0.0
1080.0,2,0.8049312196074134,0.1509076928110458,4.087084916476574,300.02444037626464,0.5,0.5,89.99999999999989,4.095309537922478,4.1135745316103645,300.0536849691126,-0.75,-6.545384640552291,-0.034635100140203434,-0.0,False,,0.0
1080.0,3,0.9053279741420426,0.1509076928110458,4.20173175500701,298.93237895785035,2.5,2.5,89.99999999999989,4.195588684398154,4.20173175500701,298.93237895785035,-0.75,-6.545384640552291,-0.034635100140203434,-0.0,False,,0.0
1170.0,1,0.5676262061561096,0.1463863978454132,3.9388866949674477,299.73200126765255,3.5,3.5,90.0,3.931082023745383,3.9388866949674477,299.73200126765255,-0.75,-6.319319892270661,-0.0,-0.0,False,,0.0
1170.0,2,0.8267120210079427,0.1463863978454132,4.192925097235108,300.11418031088203,3.5,3.5,90.0,4.182671361413151,4.192925097235108,300.11418031088203,-0.75,-6.319319892270661,-0.0,-0.0,False,,0.0
1170.0,3,0.9118463225275065,0.1463863978454132,4.1483981213566725,298.93782973627833,1.0,1.0,90.0,4.150127664217033,4.157378908094646,298.93782973627833,-0.75,-6.319319892270661,-0.0,-0.0,False,,0.0
1260.0,1,0.5882128373988871,0.14604690014439534,3.9543797484579457,299.8395460606972,3.5,3.5,90.0,3.9466086915706007,3.9543797484579457,299.8395460606972,-0.75,-6.302345007219767,-1.020000687609297,-0.0,False,,0.0
1260.0,2,0.8547159085229097,0.14604690014439534,4.227912721356622,300.2810367188711,4.5,4.5,90.0,4.221765677158851,4.227912721356622,300.2810367188711,-0.75,-6.302345007219767,-1.020000687609297,-0.0,False,,0.0
1260.0,3,0.9281421934911612,0.14604690014439534,4.223087313023843,298.9955924181227,2.5,2.5,90.0,4.20939939955827,4.223087313023843,298.9955924181227,-0.75,-6.302345007219767,-1.020000687609297,-0.0,False,,0.0
1350.0,1,0.602917574000871,0.1417884833855598,3.9352597410752552,299.88590281780336,2.5,2.5,90.0,3.932306977968378,3.9352597410752552,299.88590281780336,-0.75,-6.08942416927799,-0.0,-0.0,False,,0.0
1350.0,2,0.8578274515801275,0.1417884833855598,4.10978711420873,300.2480241559809,0.5,0.5,90.0,4.114057129661662,4.125881162565342,300.2810367188711,-0.75,-6.08942416927799,-0.0,-0.0,False,,0.0
1350.0,3,0.9346605418766245,0.1417884833855598,4.16815283911486,299.0009228702519,1.0,1.0,90.0,4.169519377981644,4.177957439832388,299.0009228702519,-0.75,-6.08942416927799,-0.0,-0.0,False,,0.0
