current_A_assumption,cell,fit_kind,seed,objective,success,selected,solver_failures,parameter_0,parameter_1,parameter_2,parameter_3,parameter_4,parameter_5,parameter_6,parameter_7,full_V_RMSE,full_T_RMSE,full_coverage,prefix_fit_V_RMSE,prefix_fit_T_RMSE,prefix_fit_coverage,suffix_forecast_V_RMSE,suffix_forecast_T_RMSE,suffix_forecast_coverage,prediction_solver_failure
5.0,1,full_fit,47,2.341939452104069,True,False,0,5.474852176814293,4.343627956550242,3.98,4.18,6.196496482025145,5.495167593849668,6.768224556887092,1.2712706285984805,0.02093205131769198,0.4091687439623798,1.0,0.022331919386492555,0.3108619112924721,1.0,0.014007130643127386,0.6709687738282784,1.0,
5.0,1,prefix_fit,7,0.7048542265363187,True,False,0,6.0,5.0,3.98,4.18,5.792138745937409,5.6622809496786966,18.649664719668557,0.9704651588429637,0.07978075610736397,0.3020556399722024,0.937290409121395,0.019967602283317964,0.1536123582545831,1.0,0.20266021496882933,0.6962107447088435,0.6867671691792295,
5.0,1,prefix_fit,17,0.6998871464916472,True,True,0,6.0,4.0,3.98,4.18,5.838593062264959,5.631529026971151,18.116509350315816,0.9830757350605238,0.07546212430602778,0.31215191353699956,0.9426559356136821,0.019821283052856548,0.1541260744817223,1.0,0.18808588244184088,0.7141185269316924,0.7135678391959799,
5.0,1,prefix_fit,27,0.7309046961681934,True,False,0,5.31642466455544,4.189963415879138,3.98,4.18,5.807143703044061,5.72617171145681,18.742549166301046,0.9639777575985854,0.07881048116994754,0.3092875237143167,0.9382964453386988,0.020525132352099778,0.15369109681445528,1.0,0.1991135313831388,0.71530699396452,0.6917922948073701,
5.0,1,prefix_fit,37,0.7009642867316309,True,False,0,6.0,4.512405573369773,3.98,4.18,5.827029533671214,5.63426563465083,18.54456056159361,0.9711632865247793,0.07624010084541273,0.31923127386336725,0.9419852448021462,0.019883087975812695,0.15366994860287433,1.0,0.19048462350714343,0.7364191859596885,0.7102177554438861,
5.0,1,prefix_fit,47,0.7219823595060488,True,False,0,5.580960534846342,4.796385206662831,3.98,4.18,5.803586276305483,5.707588660825938,18.68927590609223,0.9688042412560204,0.07839250165665093,0.3116171329245134,0.9389671361502347,0.020327932795080474,0.15392124129027304,1.0,0.19770694397255395,0.720424648650214,0.695142378559464,
5.0,2,full_fit,7,1.895573693299831,True,False,0,6.0,4.514616529406577,3.98,4.18,5.836884623680709,5.455387000098943,8.831462165212264,1.4439263412033192,0.02307312523800211,0.34337918339252993,1.0,0.02471886840524043,0.285697634704726,1.0,0.014766029440905774,0.5127617691630969,1.0,
5.0,2,full_fit,17,1.895830990107291,True,False,0,5.999909202846677,4.7676603444473535,3.98,4.18,5.835513412970985,5.449449225030099,7.986660038313238,1.473425775653109,0.023093096964322244,0.343310640280064,1.0,0.02475128134348625,0.2911165447144307,1.0,0.014704905803576255,0.5001977280109777,1.0,
5.0,2,full_fit,27,1.893326434356638,True,True,0,6.0,4.336837725028014,3.98,4.18,5.840497269676596,5.447862671882639,8.425465929959808,1.4576650467942196,0.02305233534037132,0.34329468929463597,1.0,0.024687820456718912,0.2883368525887219,1.0,0.014811305357108479,0.5065373846731915,1.0,
5.0,2,full_fit,37,1.894347971476677,True,False,0,6.0,4.51219259982697,3.98,4.18,5.837813548088673,5.445846989525312,8.67235986593284,1.44813247745058,0.023072020755529003,0.34331521506006474,1.0,0.024701787589640728,0.28739694455091847,1.0,0.014871265940485445,0.5087368272766157,1.0,
