phase,algorithm,variant,soc_set,seed,episodes,target_update,beta,max_temperature_k,sample_time_s,time_penalty,balance_scale,voltage_scale,temperature_scale,n_cells,initialization_mode,cell_parameter_file,review_items,implementation_status,required_for_resubmission,replicate_unit,run_order,run_id,command
provenance,qmix,legacy_effective_every_step,A,71,800,1,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,legacy_mixed,,M2;M3,ready,yes,training_seed,30,SUP-030,".\.venv\Scripts\python.exe main.py --algorithm qmix --soc-set A --seed 71 --episodes 800 --target-update 1 --variant legacy_effective_every_step --initialization-mode legacy_mixed --beta 0.02 --max-temperature 309.0 --sample-time 90 --time-penalty -0.75 --balance-penalty-scale -50.0 --voltage-penalty-scale -20.0 --temperature-penalty-scale -2.0 --output-dir ""results/provenance/legacy_effective_every_step/set_a_seed_71"""
ablation,qmix,qmix_no_balance,A,7,1200,50,0.02,309.0,90,-0.75,0.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M8,pending_identified_parameter_sets,yes,training_seed,31,SUP-031,
confirmatory,proportional,full,A,17,1200,50,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M6;D2;D3;D4,pending_identified_parameter_sets,yes,environment_block,32,SUP-032,
confirmatory,proportional,full,A,43,1200,50,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M6;D2;D3;D4,pending_identified_parameter_sets,yes,environment_block,33,SUP-033,
confirmatory,proportional,full,A,29,1200,50,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M6;D2;D3;D4,pending_identified_parameter_sets,yes,environment_block,34,SUP-034,
provenance,qmix,legacy_declared,B,7,800,200,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,legacy_mixed,,M2;M3,ready,yes,training_seed,35,SUP-035,".\.venv\Scripts\python.exe main.py --algorithm qmix --soc-set B --seed 7 --episodes 800 --target-update 200 --variant legacy_declared --initialization-mode legacy_mixed --beta 0.02 --max-temperature 309.0 --sample-time 90 --time-penalty -0.75 --balance-penalty-scale -50.0 --voltage-penalty-scale -20.0 --temperature-penalty-scale -2.0 --output-dir ""results/provenance/legacy_declared/set_b_seed_7"""
ablation,qmix,qmix_no_time,B,29,1200,50,0.02,309.0,90,0.0,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M8,pending_identified_parameter_sets,yes,training_seed,36,SUP-036,
temperature_sensitivity,qmix,tmax_306,A,43,1200,50,0.02,306.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,P4,pending_identified_parameter_sets,yes,training_seed,37,SUP-037,
temperature_sensitivity,qmix,tmax_306,B,7,1200,50,0.02,306.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,P4,pending_identified_parameter_sets,yes,training_seed,38,SUP-038,
confirmatory,per_cell_cccv,full,B,71,1200,50,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M6;D2;D3;D4,pending_identified_parameter_sets,yes,environment_block,39,SUP-039,
