current_A_assumption,cell,fit_kind,seed,objective,success,selected,solver_failures,optimizer_reused,objective_mesh,parameter_0,parameter_1,parameter_2,parameter_3,parameter_4,parameter_5,parameter_6,parameter_7,full_V_RMSE,full_T_RMSE,full_coverage,prefix_fit_V_RMSE,prefix_fit_T_RMSE,prefix_fit_coverage,suffix_forecast_V_RMSE,suffix_forecast_T_RMSE,suffix_forecast_coverage,prediction_solver_failure
4.0,2,full_fit,7,1.816456534156802,True,False,0,True,"{""x_n"": 30, ""x_s"": 30, ""x_p"": 30, ""r_n"": 10, ""r_p"": 10}",5.597116116464736,4.7059907221144694,3.98,4.18,4.6690244461504395,4.308186031689182,6.26632156428298,1.0993669409927689,0.02251327744526369,0.33883670870423,1.0,0.024040043165498765,0.28634611359391976,1.0,0.014926370777679838,0.495941937176976,1.0,
4.0,2,full_fit,17,1.8132394320684921,True,False,0,True,"{""x_n"": 30, ""x_s"": 30, ""x_p"": 30, ""r_n"": 10, ""r_p"": 10}",5.745275736213137,4.556128952760395,3.98,4.18,4.66956829447362,4.303583879214871,7.115581515900717,1.0686153630790933,0.022312602554158966,0.33989937099837475,1.0,0.023788457906790624,0.28031711746344157,1.0,0.015031313157828656,0.5130454737413547,1.0,
4.0,2,full_fit,27,1.8056297510632793,True,False,0,True,"{""x_n"": 30, ""x_s"": 30, ""x_p"": 30, ""r_n"": 10, ""r_p"": 10}",6.0,5.0,3.98,4.18,4.667637653551077,4.2753111205802545,5.0,1.1429404820894509,0.02205875243007301,0.34015872063489666,1.0,0.023470275790633367,0.29827771817134036,1.0,0.015157708045458915,0.47176925842054734,1.0,
4.0,2,full_fit,37,1.8027384884109292,True,True,0,True,"{""x_n"": 30, ""x_s"": 30, ""x_p"": 30, ""r_n"": 10, ""r_p"": 10}",6.0,4.112369409284161,3.98,4.18,4.675833177971093,4.276090331790453,5.0,1.141451346229156,0.02198113241513206,0.3402653394325916,1.0,0.0233548362307691,0.2985808893668411,1.0,0.015306176543282974,0.47138683434830636,1.0,
4.0,2,full_fit,47,1.8040118937517087,True,False,0,True,"{""x_n"": 30, ""x_s"": 30, ""x_p"": 30, ""r_n"": 10, ""r_p"": 10}",6.0,4.465336017749625,3.98,4.18,4.67226742722424,4.274775848383655,5.0,1.1421745157093524,0.022016364285365513,0.34021774391331283,1.0,0.023403783509379595,0.2984353731477263,1.0,0.015260321442866402,0.4715834137874004,1.0,
4.0,2,prefix_fit,7,0.8575467231914093,True,False,0,True,"{""x_n"": 30, ""x_s"": 30, ""x_p"": 30, ""r_n"": 10, ""r_p"": 10}",6.0,5.0,3.98,4.18,4.5,4.329923523542549,16.561230948025784,0.8686192557770204,0.06387900520150121,0.3570638029271088,0.9661680911680912,0.022270888595449307,0.1742313342655487,1.0,0.14601392876312705,0.7711499111837448,0.8309608540925267,
4.0,2,prefix_fit,17,0.8481228311329516,True,True,0,True,"{""x_n"": 30, ""x_s"": 30, ""x_p"": 30, ""r_n"": 10, ""r_p"": 10}",6.0,4.207684251462079,3.98,4.18,4.500426260652758,4.334378996701877,17.04091227506057,0.8470068822111348,0.06537492059264659,0.35790071679491514,0.9647435897435898,0.022130922035141293,0.17359749482417972,1.0,0.15043422276170856,0.7767102219887447,0.8238434163701067,
4.0,2,prefix_fit,27,0.8499114045298446,True,False,0,True,"{""x_n"": 30, ""x_s"": 30, ""x_p"": 30, ""r_n"": 10, ""r_p"": 10}",6.0,4.421276848792166,3.98,4.18,4.5,4.331384600577626,17.02859148221086,0.8491028877705978,0.06502774794169194,0.3597948232422438,0.9650997150997151,0.02217177708240283,0.17359235688562022,1.0,0.1493911617608167,0.7811548163940487,0.8256227758007118,
4.0,2,prefix_fit,37,1.3417459714900686,True,False,0,True,"{""x_n"": 30, ""x_s"": 30, ""x_p"": 30, ""r_n"": 10, ""r_p"": 10}",5.272687479644042,4.635693249653038,3.98,4.18,6.684756951292428,4.0,14.2048890703562,0.7653672554860337,0.1348886992316391,0.5622584600122991,1.0,0.030419310828402206,0.17607277932026305,1.0,0.2953167964586883,1.2065039066624197,1.0,
4.0,2,prefix_fit,47,1.1949528341726567,True,False,0,True,"{""x_n"": 30, ""x_s"": 30, ""x_p"": 30, ""r_n"": 10, ""r_p"": 10}",6.0,4.324435797214955,3.98,4.18,5.08130683728291,4.0,16.195535179956394,0.8254663381248208,0.08179038836018628,0.5298691160935495,1.0,0.028405362188797807,0.17482521134387388,1.0,0.17378131226962878,1.131662759202283,1.0,
