time_s,voltage_V,temperature_C
812.0,3.7856,27.0
813.0,3.7853,27.0
814.0,3.785,27.0
815.0,3.7847,27.0
816.0,3.7847,27.0
817.0,3.7844,27.0
818.0,3.7841,27.0
819.0,3.7837,27.0
820.0,3.7834,27.0
821.0,3.7831,27.0
822.0,3.7828,27.0
823.0,3.7825,27.0
824.0,3.7822,27.0
825.0,3.7819,27.0
826.0,3.7819,27.0
827.0,3.7816,27.0
828.0,3.7813,27.0
829.0,3.781,27.0
830.0,3.7806,27.0
831.0,3.7803,27.0
832.0,3.78,27.1
833.0,3.7797,27.0
834.0,3.7797,27.0
835.0,3.7788,27.0
836.0,3.7788,27.0
837.0,3.7785,27.0
838.0,3.7782,27.0
839.0,3.7779,27.0
840.0,3.7775,27.0
841.0,3.7772,27.0
842.0,3.7772,27.1
843.0,3.7766,27.0
844.0,3.7766,27.0
845.0,3.7763,27.1
846.0,3.776,27.0
847.0,3.7757,27.0
848.0,3.7754,27.0
849.0,3.7751,27.0
850.0,3.7748,27.0
851.0,3.7744,27.0
852.0,3.7741,27.0
853.0,3.7741,27.0
854.0,3.7738,27.0
855.0,3.7735,27.0
856.0,3.7732,27.0
857.0,3.7729,27.0
858.0,3.7729,27.0
859.0,3.7723,27.0
860.0,3.772,27.0
861.0,3.772,27.0
862.0,3.7717,27.0
863.0,3.7713,27.0
864.0,3.7707,27.0
865.0,3.7704,27.0
866.0,3.7704,27.0
867.0,3.7698,27.0
868.0,3.7695,27.0
869.0,3.7695,27.0
870.0,3.7692,27.1
871.0,3.7689,27.0
872.0,3.7686,27.0
873.0,3.7682,27.0
874.0,3.7679,27.0
875.0,3.7676,27.1
876.0,3.7676,27.0
877.0,3.7673,27.0
878.0,3.767,27.0
879.0,3.7667,27.1
880.0,3.7664,27.0
881.0,3.7664,27.0
882.0,3.7658,27.0
883.0,3.7658,27.0
884.0,3.7655,27.0
885.0,3.7651,27.0
886.0,3.7648,27.0
887.0,3.7645,27.0
888.0,3.7642,27.0
889.0,3.7639,27.0
890.0,3.7636,27.0
891.0,3.7633,27.0
892.0,3.7633,27.0
893.0,3.7627,27.0
894.0,3.7624,27.1
895.0,3.762,27.0
896.0,3.7617,27.0
897.0,3.7614,27.0
898.0,3.7611,27.0
899.0,3.7608,27.0
900.0,3.7605,27.0
901.0,3.7605,27.0
902.0,3.7602,27.0
903.0,3.7599,27.1
904.0,3.7596,27.1
905.0,3.7593,27.0
906.0,3.7589,27.0
907.0,3.7589,27.1
908.0,3.7586,27.0
909.0,3.7583,27.0
910.0,3.758,27.0
911.0,3.7577,27.0
912.0,3.7574,27.0
913.0,3.7571,27.0
914.0,3.7568,27.0
915.0,3.7568,27.0
916.0,3.7565,27.0
917.0,3.7562,27.0
918.0,3.7558,27.0
919.0,3.7555,27.1
920.0,3.7552,27.0
921.0,3.7552,27.0
922.0,3.7543,27.0
923.0,3.7543,27.0
924.0,3.754,27.0
925.0,3.7537,27.0
926.0,3.7534,27.1
927.0,3.7531,27.1
928.0,3.7527,27.1
929.0,3.7524,27.1
930.0,3.7521,27.0
931.0,3.7521,27.0
932.0,3.7518,27.0
933.0,3.7515,27.0
934.0,3.7512,27.1
935.0,3.7509,27.0
936.0,3.7506,27.1
937.0,3.7503,27.0
938.0,3.7503,27.1
939.0,3.7496,27.1
940.0,3.7493,27.1
941.0,3.7493,27.0
942.0,3.749,27.0
943.0,3.7487,27.0
944.0,3.7484,27.0
945.0,3.7481,27.1
946.0,3.7478,27.0
947.0,3.7478,27.1
948.0,3.7475,26.9
949.0,3.7472,27.1
950.0,3.7465,27.0
951.0,3.7462,26.9
952.0,3.7459,27.1
953.0,3.7456,27.1
954.0,3.7453,27.1
955.0,3.745,27.0
956.0,3.7447,27.0
957.0,3.7444,27.0
958.0,3.7444,27.1
959.0,3.7441,27.1
960.0,3.7437,27.0
961.0,3.7434,27.0
962.0,3.7431,27.0
963.0,3.7428,27.0
964.0,3.7425,27.1
965.0,3.7422,27.0
966.0,3.7422,27.0
967.0,3.7419,27.0
968.0,3.7416,27.0
969.0,3.7413,27.0
970.0,3.741,27.0
971.0,3.7406,27.1
972.0,3.7403,27.1
973.0,3.74,27.0
974.0,3.74,27.1
975.0,3.7394,27.0
976.0,3.7394,27.1
977.0,3.7385,27.0
978.0,3.7385,27.0
979.0,3.7382,27.0
980.0,3.7379,27.1
981.0,3.7375,27.1
982.0,3.7372,27.0
983.0,3.7369,27.1
984.0,3.7366,27.0
985.0,3.7363,27.1
986.0,3.7363,27.0
987.0,3.736,27.1
988.0,3.7357,27.0
989.0,3.7354,27.2
990.0,3.7351,27.2
991.0,3.7348,27.0
992.0,3.7344,27.1
993.0,3.7341,27.1
994.0,3.7338,27.1
995.0,3.7335,27.2
996.0,3.7332,27.0
997.0,3.7329,27.0
998.0,3.7326,27.0
999.0,3.7326,27.0
1000.0,3.7323,27.2
1001.0,3.732,27.2
1002.0,3.7317,27.0
1003.0,3.7313,27.2
1004.0,3.731,27.0
1005.0,3.7304,27.2
1006.0,3.7301,27.2
1007.0,3.7298,27.2
1008.0,3.7295,27.2
1009.0,3.7292,27.0
1010.0,3.7289,27.2
1011.0,3.7289,27.2
1012.0,3.7286,27.2
1013.0,3.7282,27.2
1014.0,3.7279,27.2
1015.0,3.7276,27.2
1016.0,3.7273,27.0
1017.0,3.727,27.2
1018.0,3.7267,27.2
1019.0,3.7264,27.2
1020.0,3.7261,27.2
1021.0,3.7258,27.2
1022.0,3.7258,27.2
1023.0,3.7251,27.2
1024.0,3.7248,27.2
1025.0,3.7248,27.2
1026.0,3.7242,27.2
1027.0,3.7242,27.2
1028.0,3.7239,27.2
1029.0,3.7236,27.2
1030.0,3.7233,27.2
1031.0,3.723,27.2
1032.0,3.7224,27.2
1033.0,3.722,27.2
1034.0,3.7217,27.2
1035.0,3.7214,27.2
1036.0,3.7211,27.2
1037.0,3.7208,27.2
1038.0,3.7205,27.2
1039.0,3.7202,27.2
1040.0,3.7199,27.2
1041.0,3.7196,27.2
1042.0,3.7193,27.2
1043.0,3.7189,27.2
1044.0,3.7186,27.2
1045.0,3.7183,27.0
1046.0,3.718,27.0
1047.0,3.7177,27.2
1048.0,3.7174,27.0
1049.0,3.7174,27.0
1050.0,3.7171,27.0
1051.0,3.7168,27.2
1052.0,3.7165,27.2
1053.0,3.7162,27.2
1054.0,3.7158,27.2
1055.0,3.7155,27.2
1056.0,3.7152,27.2
1057.0,3.7143,27.2
1058.0,3.714,27.2
1059.0,3.714,27.2
1060.0,3.7137,27.0
1061.0,3.7134,27.0
1062.0,3.7131,27.2
1063.0,3.7127,27.0
1064.0,3.7124,27.2
1065.0,3.7118,27.2
1066.0,3.7118,27.2
1067.0,3.7115,27.2
1068.0,3.7112,27.2
1069.0,3.7106,27.2
1070.0,3.7103,27.2
1071.0,3.7103,27.0
1072.0,3.71,27.2
1073.0,3.7096,27.2
