current_A_assumption,cell,fit_kind,parameter_index,parameter_name,fixed,optimizer_runs,scaled_mean,scaled_std,scaled_min,scaled_max,physical_mean,physical_std,fraction_at_bound,interpretation
4.0,3,prefix_fit,7,Heat capacity multiplier,False,5,0.8666025278848025,0.0008107935167541369,0.865654020271612,0.8678203500135889,0.8666025278848025,0.0008107935167541369,0.0,"optimizer variability, not physical parameter uncertainty"
5.0,1,full_fit,0,Positive electrode diffusivity [m2.s-1],False,5,5.660913030858103,0.2871887442905257,5.396478083305777,6.0,5.660913030858103e-15,2.8718874429052573e-16,0.2,"optimizer variability, not physical parameter uncertainty"
5.0,1,full_fit,1,Negative electrode diffusivity [m2.s-1],False,5,4.474175207617522,0.15396107670285206,4.277216619348511,4.628136548985245,4.474175207617522e-14,1.5396107670285206e-15,0.0,"optimizer variability, not physical parameter uncertainty"
5.0,1,full_fit,2,Positive particle radius [m],True,5,3.9799999999999995,4.965068306494546e-16,3.98,3.98,3.979999999999999e-06,4.965068306494546e-22,0.0,"optimizer variability, not physical parameter uncertainty"
5.0,1,full_fit,3,Negative particle radius [m],True,5,4.18,0.0,4.18,4.18,4.18e-06,0.0,0.0,"optimizer variability, not physical parameter uncertainty"
5.0,1,full_fit,4,Negative electrode active material volume fraction,False,5,6.195537617895257,0.0017604704345128004,6.193092918759206,6.197805586981084,0.6195537617895257,0.00017604704345128004,0.0,"optimizer variability, not physical parameter uncertainty"
5.0,1,full_fit,5,Positive electrode active material volume fraction,False,5,5.468456170911347,0.0318007433971802,5.425004525735671,5.503265338781807,0.5468456170911348,0.00318007433971802,0.0,"optimizer variability, not physical parameter uncertainty"
5.0,1,full_fit,6,Total heat transfer coefficient [W.m-2.K-1],False,5,7.238562794966365,0.3436916575515208,6.768224556887092,7.697153209705473,7.238562794966365,0.3436916575515208,0.0,"optimizer variability, not physical parameter uncertainty"
5.0,1,full_fit,7,Heat capacity multiplier,False,5,1.253888512517162,0.01205932836485889,1.2410054600043328,1.2712706285984805,1.253888512517162,0.01205932836485889,0.0,"optimizer variability, not physical parameter uncertainty"
5.0,1,prefix_fit,0,Positive electrode diffusivity [m2.s-1],False,5,5.779477039880357,0.31611605182462554,5.31642466455544,6.0,5.779477039880357e-15,3.161160518246256e-16,0.6,"optimizer variability, not physical parameter uncertainty"
5.0,1,prefix_fit,1,Negative electrode diffusivity [m2.s-1],False,5,4.499750839182348,0.4135578744465425,4.0,5.0,4.499750839182348e-14,4.1355787444654255e-15,0.4,"optimizer variability, not physical parameter uncertainty"
5.0,1,prefix_fit,2,Positive particle radius [m],True,5,3.9799999999999995,4.965068306494546e-16,3.98,3.98,3.979999999999999e-06,4.965068306494546e-22,0.0,"optimizer variability, not physical parameter uncertainty"
5.0,1,prefix_fit,3,Negative particle radius [m],True,5,4.18,0.0,4.18,4.18,4.18e-06,0.0,0.0,"optimizer variability, not physical parameter uncertainty"
5.0,1,prefix_fit,4,Negative electrode active material volume fraction,False,5,5.813698264244626,0.018758338914000406,5.792138745937409,5.838593062264959,0.5813698264244626,0.0018758338914000407,0.0,"optimizer variability, not physical parameter uncertainty"
5.0,1,prefix_fit,5,Positive electrode active material volume fraction,False,5,5.672367196716685,0.042885588662609955,5.631529026971151,5.72617171145681,0.5672367196716686,0.004288558866260996,0.0,"optimizer variability, not physical parameter uncertainty"
5.0,1,prefix_fit,6,Total heat transfer coefficient [W.m-2.K-1],False,5,18.548511940794253,0.2521600062759981,18.116509350315816,18.742549166301046,18.548511940794253,0.2521600062759981,0.0,"optimizer variability, not physical parameter uncertainty"
5.0,1,prefix_fit,7,Heat capacity multiplier,False,5,0.9714972358565745,0.007053954956708145,0.9639777575985854,0.9830757350605238,0.9714972358565745,0.007053954956708145,0.0,"optimizer variability, not physical parameter uncertainty"
5.0,2,full_fit,0,Positive electrode diffusivity [m2.s-1],False,5,5.840121590582311,0.35744823660298025,5.200698750064878,6.0,5.8401215905823115e-15,3.574482366029803e-16,0.8,"optimizer variability, not physical parameter uncertainty"
5.0,2,full_fit,1,Negative electrode diffusivity [m2.s-1],False,5,4.598851309456394,0.2130144438233766,4.336837725028014,4.862949348573054,4.5988513094563935e-14,2.130144438233766e-15,0.0,"optimizer variability, not physical parameter uncertainty"
5.0,2,full_fit,2,Positive particle radius [m],True,5,3.9799999999999995,4.965068306494546e-16,3.98,3.98,3.979999999999999e-06,4.965068306494546e-22,0.0,"optimizer variability, not physical parameter uncertainty"
5.0,2,full_fit,3,Negative particle radius [m],True,5,4.18,0.0,4.18,4.18,4.18e-06,0.0,0.0,"optimizer variability, not physical parameter uncertainty"
5.0,2,full_fit,4,Negative electrode active material volume fraction,False,5,5.836513566988613,0.003176594254523666,5.8318589805261,5.840497269676596,0.5836513566988613,0.0003176594254523666,0.0,"optimizer variability, not physical parameter uncertainty"
5.0,2,full_fit,5,Positive electrode active material volume fraction,False,5,5.4691018269430725,0.043670960961210654,5.445846989525312,5.54696324817837,0.5469101826943072,0.004367096096121066,0.0,"optimizer variability, not physical parameter uncertainty"
5.0,2,full_fit,6,Total heat transfer coefficient [W.m-2.K-1],False,5,8.520414943178945,0.3321173133375715,7.986660038313238,8.831462165212264,8.520414943178945,0.3321173133375715,0.0,"optimizer variability, not physical parameter uncertainty"
5.0,2,full_fit,7,Heat capacity multiplier,False,5,1.4530801387403414,0.01285016334001496,1.4422510526004786,1.473425775653109,1.4530801387403414,0.01285016334001496,0.0,"optimizer variability, not physical parameter uncertainty"
5.0,2,prefix_fit,0,Positive electrode diffusivity [m2.s-1],False,5,5.999898735514127,0.00022643427412003122,5.999493677570632,6.0,5.999898735514127e-15,2.2643427412003124e-19,1.0,"optimizer variability, not physical parameter uncertainty"
5.0,2,prefix_fit,1,Negative electrode diffusivity [m2.s-1],False,5,4.160574087333475,0.16283018970782856,4.0,4.358115946307165,4.160574087333475e-14,1.6283018970782855e-15,0.4,"optimizer variability, not physical parameter uncertainty"
5.0,2,prefix_fit,2,Positive particle radius [m],True,5,3.9799999999999995,4.965068306494546e-16,3.98,3.98,3.979999999999999e-06,4.965068306494546e-22,0.0,"optimizer variability, not physical parameter uncertainty"
5.0,2,prefix_fit,3,Negative particle radius [m],True,5,4.18,0.0,4.18,4.18,4.18e-06,0.0,0.0,"optimizer variability, not physical parameter uncertainty"
5.0,2,prefix_fit,4,Negative electrode active material volume fraction,False,5,5.515020270901523,0.00289309300147145,5.510642804063118,5.518452728450093,0.5515020270901524,0.000289309300147145,0.0,"optimizer variability, not physical parameter uncertainty"
5.0,2,prefix_fit,5,Positive electrode active material volume fraction,False,5,5.582146195989867,0.0036940042470741,5.5782437054746925,5.587347756467798,0.5582146195989867,0.00036940042470741006,0.0,"optimizer variability, not physical parameter uncertainty"
5.0,2,prefix_fit,6,Total heat transfer coefficient [W.m-2.K-1],False,5,23.123286280232293,0.08763259361542718,23.020332156085452,23.251509951120507,23.123286280232293,0.08763259361542718,0.0,"optimizer variability, not physical parameter uncertainty"
5.0,2,prefix_fit,7,Heat capacity multiplier,False,5,1.120623854192884,0.0028505131130243558,1.116146652846765,1.1238776977061748,1.120623854192884,0.0028505131130243558,0.0,"optimizer variability, not physical parameter uncertainty"
5.0,3,full_fit,0,Positive electrode diffusivity [m2.s-1],False,5,5.940103866912798,0.05559207232408064,5.8838018787345945,6.0,5.940103866912799e-15,5.559207232408064e-17,0.4,"optimizer variability, not physical parameter uncertainty"
5.0,3,full_fit,1,Negative electrode diffusivity [m2.s-1],False,5,4.483508256428361,0.21482696808225865,4.291521548650796,4.8416928757267925,4.4835082564283606e-14,2.1482696808225864e-15,0.0,"optimizer variability, not physical parameter uncertainty"
5.0,3,full_fit,2,Positive particle radius [m],True,5,3.9799999999999995,4.965068306494546e-16,3.98,3.98,3.979999999999999e-06,4.965068306494546e-22,0.0,"optimizer variability, not physical parameter uncertainty"
5.0,3,full_fit,3,Negative particle radius [m],True,5,4.18,0.0,4.18,4.18,4.18e-06,0.0,0.0,"optimizer variability, not physical parameter uncertainty"
5.0,3,full_fit,4,Negative electrode active material volume fraction,False,5,5.573230694700019,0.0024474640399204557,5.569068012970065,5.575522453100932,0.5573230694700019,0.0002447464039920456,0.0,"optimizer variability, not physical parameter uncertainty"
5.0,3,full_fit,5,Positive electrode active material volume fraction,False,5,5.291441784180487,0.011785169702699907,5.279808559475787,5.307727426909322,0.5291441784180487,0.0011785169702699908,0.0,"optimizer variability, not physical parameter uncertainty"
5.0,3,full_fit,6,Total heat transfer coefficient [W.m-2.K-1],False,5,5.849214365110115,1.0579550153150075,5.0,7.330611979272197,5.849214365110115,1.0579550153150075,0.6,"optimizer variability, not physical parameter uncertainty"
5.0,3,full_fit,7,Heat capacity multiplier,False,5,1.678859162722094,0.02973184532913175,1.6382917578515215,1.7029273918024315,1.678859162722094,0.02973184532913175,0.0,"optimizer variability, not physical parameter uncertainty"
5.0,3,prefix_fit,0,Positive electrode diffusivity [m2.s-1],False,5,5.96193521515915,0.08511544645304542,5.809676075795747,6.0,5.9619352151591504e-15,8.511544645304542e-17,0.8,"optimizer variability, not physical parameter uncertainty"
5.0,3,prefix_fit,1,Negative electrode diffusivity [m2.s-1],False,5,4.236073721917195,0.15861935568959193,4.030730679293087,4.474414409722347,4.236073721917195e-14,1.5861935568959193e-15,0.0,"optimizer variability, not physical parameter uncertainty"
5.0,3,prefix_fit,2,Positive particle radius [m],True,5,3.9799999999999995,4.965068306494546e-16,3.98,3.98,3.979999999999999e-06,4.965068306494546e-22,0.0,"optimizer variability, not physical parameter uncertainty"
5.0,3,prefix_fit,3,Negative particle radius [m],True,5,4.18,0.0,4.18,4.18,4.18e-06,0.0,0.0,"optimizer variability, not physical parameter uncertainty"
5.0,3,prefix_fit,4,Negative electrode active material volume fraction,False,5,5.24919653176664,0.01757222311240048,5.220217663778252,5.266292689653479,0.524919653176664,0.001757222311240048,0.0,"optimizer variability, not physical parameter uncertainty"
5.0,3,prefix_fit,5,Positive electrode active material volume fraction,False,5,5.407349959189968,0.024873865381887045,5.393155958987786,5.451706374103068,0.5407349959189969,0.002487386538188705,0.0,"optimizer variability, not physical parameter uncertainty"
5.0,3,prefix_fit,6,Total heat transfer coefficient [W.m-2.K-1],False,5,30.48045540328436,0.08126179100572666,30.369254361287854,30.592783102957164,30.48045540328436,0.08126179100572666,0.0,"optimizer variability, not physical parameter uncertainty"
5.0,3,prefix_fit,7,Heat capacity multiplier,False,5,1.1534398828913706,0.004380908689899166,1.1495250116340443,1.1599364460190429,1.1534398828913706,0.004380908689899166,0.0,"optimizer variability, not physical parameter uncertainty"
