time_s,cell,soc,soc_std,voltage_V,temperature_K,current_A,interval_mean_voltage_V,interval_max_voltage_V,interval_max_temperature_K,reward_time,reward_balance,reward_voltage,reward_temperature
1170.0,3,0.5574747612257143,0.07811133464282595,3.926204275344661,299.1704806632221,2.5,3.923187694181067,3.926204275344661,299.1704806632221,-0.75,-2.9055667321412972,-0.0,-0.0
1260.0,1,0.3882128373988842,0.07871036205033918,3.7796526879368377,299.9591081327023,3.5,3.771469356411837,3.7796526879368377,299.9591081327023,-0.75,-2.935518102516959,-0.0,-0.0
1260.0,2,0.49870813349297866,0.07871036205033918,3.8741729613217712,299.6465493094377,2.5,3.870962038058574,3.8741729613217712,299.6465493094377,-0.75,-2.935518102516959,-0.0,-0.0
1260.0,3,0.5802889805748278,0.07871036205033918,3.97220500175961,299.2646809809944,3.5,3.9617958592878044,3.97220500175961,299.2646809809944,-0.75,-2.935518102516959,-0.0,-0.0
1350.0,1,0.40879946864166117,0.07712073898286358,3.7964862777023027,300.0644796580449,3.5,3.788001145902046,3.7964862777023027,300.0644796580449,-0.75,-2.8560369491431787,-0.0,-0.0
1350.0,2,0.5204889348935084,0.07712073898286358,3.921579795108755,299.7382198270107,3.5,3.910571684853357,3.921579795108755,299.7382198270107,-0.75,-2.8560369491431787,-0.0,-0.0
1350.0,3,0.5965848515384817,0.07712073898286358,3.953420135375448,299.311589217077,2.5,3.9500193225298763,3.953420135375448,299.311589217077,-0.75,-2.8560369491431787,-0.0,-0.0
1440.0,1,0.4293860998844391,0.07802889690745346,3.8143565058483686,300.1676978106739,3.5,3.8053242822836424,3.8143565058483686,300.1676978106739,-0.75,-2.901444845372673,-0.0,-0.0
1440.0,2,0.542269736294038,0.07802889690745346,3.9383044371200477,299.8295460280978,3.5,3.9301350504982158,3.9383044371200477,299.8295460280978,-0.75,-2.901444845372673,-0.0,-0.0
1440.0,3,0.6193990708875958,0.07802889690745346,4.0033116515477225,299.40474728693505,3.5,3.9906452898682683,4.0033116515477225,299.40474728693505,-0.75,-2.901444845372673,-0.0,-0.0
1530.0,1,0.44997273112721653,0.07647759741287082,3.8333592977269917,300.2688912015268,3.5,3.8237745186208096,3.8333592977269917,300.2688912015268,-0.75,-2.8238798706435406,-0.0,-0.0
1530.0,2,0.5640505376945676,0.07647759741287082,3.953691347280941,299.9191959140439,3.5,3.9460462488185106,3.953691347280941,299.9191959140439,-0.75,-2.8238798706435406,-0.0,-0.0
1530.0,3,0.63569494185125,0.07647759741287082,3.9889778430443705,299.45066687081305,2.5,3.982959656648677,3.9889778430443705,299.45066687081305,-0.75,-2.8238798706435406,-0.0,-0.0
