episode,environment_steps,epsilon,reward,loss,charging_target_reached,charge_phase_constraints_satisfied,failure_reason,initial_soc,elapsed_wall_s
113,3933,0.46347499999999997,-96.54012020170443,2.8034591674804688,True,True,,"[0.1, 0.2, 0.3]",9086.696740300002
114,3959,0.463128125,-92.43599942573348,2.834317207336426,True,True,,"[0.3, 0.5, 0.7]",9134.051541599998
115,3986,0.462884375,-62.995897289289104,,True,True,,"[0.4279810387467786, 0.1869135125371112, 0.27634324169654445]",9185.375416800001
116,4019,0.46263125,-171.49034416189977,2.99739146232605,True,True,,"[0.33657489990272915, 0.10821501890000107, 0.5534387459477136]",9250.249495999997
117,4053,0.462321875,-106.17441542286483,2.7934658527374268,True,True,,"[0.1, 0.2, 0.3]",9306.030930200002
118,4079,0.462003125,-111.37169923126103,,True,True,,"[0.3, 0.5, 0.7]",9357.388855999998
119,4109,0.46175937499999997,-194.0633834950378,2.7546582221984863,True,True,,"[0.12035772348402529, 0.6816163732138335, 0.7000712038506477]",9416.8588236
120,4140,0.461478125,-83.39621904630526,,True,True,,"[0.5738545666716993, 0.39071577693014947, 0.3597983293214194]",9481.1471161
121,4178,0.4611875,-85.66086124595246,2.99474835395813,True,True,,"[0.1, 0.2, 0.3]",9544.2641429
122,4204,0.46083125,-116.59482296635639,2.40103816986084,True,True,,"[0.3, 0.5, 0.7]",9598.224725799999
123,4244,0.4605875,-213.1324530545172,,True,True,,"[0.445666127343777, 0.15717641427145407, 0.1002087103257428]",9673.416095699999
124,4276,0.4602125,-182.5395866684158,2.7832789421081543,True,True,,"[0.711173895963536, 0.7134541079592258, 0.21561187049044184]",9750.6747215
125,4310,0.4599125,-75.98339046932722,2.884382724761963,True,True,,"[0.1, 0.2, 0.3]",9804.0079339
126,4335,0.45959375,-105.68997400166107,,True,True,,"[0.3, 0.5, 0.7]",9855.0740753
127,4371,0.459359375,-209.88713192312719,2.006556987762451,True,True,,"[0.6896393410286554, 0.3425988378115131, 0.1423505084920056]",9929.849348900003
128,4399,0.459021875,-168.711858823798,,True,True,,"[0.6181574355038075, 0.16271818971158997, 0.7004430599545455]",9995.2944173
129,4428,0.458759375,-68.14981501833512,2.5536417961120605,True,True,,"[0.1, 0.2, 0.3]",10060.090729800002
130,4455,0.4584875,-124.61049900668229,2.889760732650757,True,True,,"[0.3, 0.5, 0.7]",10136.9245897
131,4485,0.45823437499999997,-162.79267124548886,,True,True,,"[0.6323902412127366, 0.10372244412627332, 0.41283214304149696]",10189.768223599996
132,4514,0.457953125,-106.25300476729117,2.4275505542755127,True,True,,"[0.6754402053545274, 0.45930752986282275, 0.36185529070333056]",10251.349726100001
133,4548,0.45768125,-45.42169815566885,,True,True,,"[0.1, 0.2, 0.3]",10314.2287889
134,4577,0.4573625,-134.63947317436998,2.635540008544922,True,True,,"[0.3, 0.5, 0.7]",10379.187930300002
135,4610,0.457090625,-67.4735543274632,2.7798123359680176,True,True,,"[0.3595128178371616, 0.3064595047088893, 0.2714998912063237]",10447.7192212
136,4640,0.45678125,-173.78514433528827,,True,True,,"[0.5860731052094397, 0.1035194226670987, 0.2827531809490882]",10513.340559700002
137,4675,0.4565,-95.86734928950257,2.167233943939209,True,True,,"[0.1, 0.2, 0.3]",10582.259774699996
138,4700,0.456171875,-93.95723753650108,2.3883118629455566,True,True,,"[0.3, 0.5, 0.7]",10639.5047997
